B	1.72132  0.0113164  0.00868356	-0.167469  0.582531  0.217469	-0.00169031  0.0385725  0.0386014
Ox	1.72132  0.0113164  0.00868356	-0.167469  0.582531  0.217469	-0.972132  0.0218075  0.0118421
R	1.72132  0.0113164  0.00868356	-0.167469  0.582531  0.217469	-0.00521757  0.0987583  0.0987583
T	1.72132  0.0113164  0.00868356	-0.167469  0.582531  0.217469	-0.96881  0.0320957  0.00504372
Oz	1.72132  0.0113164  0.00868356	-0.167469  0.582531  0.217469	-0.157817  0.0977411  0.0964012
B	1.72124  0.0112352  0.00876476	0.270415  0.220415  0.179585	0.238353  0.0310045  0.0310941
Ox	1.72124  0.0112352  0.00876476	0.270415  0.220415  0.179585	-0.940101  0.018583  0.013889
R	1.72124  0.0112352  0.00876476	0.270415  0.220415  0.179585	-0.412854  0.0461894  0.0461894
T	1.72124  0.0112352  0.00876476	0.270415  0.220415  0.179585	-0.969041  0.0191032  0.00420039
Oz	1.72124  0.0112352  0.00876476	0.270415  0.220415  0.179585	-0.172116  0.074778  0.0736273
B	1.72138  0.0113799  0.00862009	0.58252  0.13252  0.26748	0.210038  0.0322846  0.0325464
Ox	1.72138  0.0113799  0.00862009	0.58252  0.13252  0.26748	-0.961148  0.0102518  0.0102518
R	1.72138  0.0113799  0.00862009	0.58252  0.13252  0.26748	-0.425934  0.0424217  0.0424217
T	1.72138  0.0113799  0.00862009	0.58252  0.13252  0.26748	-0.95155  0.0841325  0.0841325
Oz	1.72138  0.0113799  0.00862009	0.58252  0.13252  0.26748	-0.00255676  0.0952535  0.0941802
B	1.74149  0.0114871  0.00851291	-0.173644  0.576356  0.223644	0.222707  0.0271131  0.0272262
Ox	1.74149  0.0114871  0.00851291	-0.173644  0.576356  0.223644	-0.918614  0.0223485  0.018248
R	1.74149  0.0114871  0.00851291	-0.173644  0.576356  0.223644	-0.104621  0.0545265  0.0545265
T	1.74149  0.0114871  0.00851291	-0.173644  0.576356  0.223644	-0.969301  0.0183294  0.00394618
Oz	1.74149  0.0114871  0.00851291	-0.173644  0.576356  0.223644	-0.278071  0.0637867  0.062884
B	1.74146  0.0114584  0.00854164	0.148059  0.0980594  0.101941	0.250948  0.0351091  0.0353079
Ox	1.74146  0.0114584  0.00854164	0.148059  0.0980594  0.101941	-0.887232  0.0354642  0.0288481
R	1.74146  0.0114584  0.00854164	0.148059  0.0980594  0.101941	-0.318395  0.0461037  0.0461037
T	1.74146  0.0114584  0.00854164	0.148059  0.0980594  0.101941	-0.968889  0.0393746  0.00499388
Oz	1.74146  0.0114584  0.00854164	0.148059  0.0980594  0.101941	-0.34711  0.0793331  0.0772778
B	1.74142  0.0114218  0.0085782	0.350948  0.100948  0.0990522	0.353918  0.0298592  0.0298592
Ox	1.74142  0.0114218  0.0085782	0.350948  0.100948  0.0990522	-0.914221  0.0127863  0.0127863
R	1.74142  0.0114218  0.0085782	0.350948  0.100948  0.0990522	-0.5365  0.0365557  0.0365557
T	1.74142  0.0114218  0.0085782	0.350948  0.100948  0.0990522	-0.968672  0.00760941  0.00760941
Oz	1.74142  0.0114218  0.0085782	0.350948  0.100948  0.0990522	-0.0936427  0.061445  0.061445
B	1.74143  0.0114305  0.00856951	0.537506  0.0875065  0.112494	0.318831  0.026758  0.0267851
Ox	1.74143  0.0114305  0.00856951	0.537506  0.0875065  0.112494	-0.921609  0.0181791  0.0133969
R	1.74143  0.0114305  0.00856951	0.537506  0.0875065  0.112494	-0.54382  0.0457996  0.0457996
T	1.74143  0.0114305  0.00856951	0.537506  0.0875065  0.112494	-0.968545  0.0205432  0.00451986
Oz	1.74143  0.0114305  0.00856951	0.537506  0.0875065  0.112494	-0.135824  0.0750975  0.0737275
B	1.74178  0.0117802  0.00821975	0.72787  0.0778698  0.12213	0.268871  0.142323  0.142323
Ox	1.74178  0.0117802  0.00821975	0.72787  0.0778698  0.12213	-0.892318  0.238313  0.238313
R	1.74178  0.0117802  0.00821975	0.72787  0.0778698  0.12213	-0.409135  0.0729453  0.0729453
T	1.74178  0.0117802  0.00821975	0.72787  0.0778698  0.12213	-0.917099  0.148641  0.148641
B	1.7611  0.0111022  0.00889779	-0.455808  0.294192  0.105808	0.20696  0.0560138  0.0560138
R	1.7611  0.0111022  0.00889779	-0.455808  0.294192  0.105808	0.229689  0.153264  0.153264
T	1.7611  0.0111022  0.00889779	-0.455808  0.294192  0.105808	-0.757818  0.0954763  0.0954763
B	1.76067  0.0106697  0.00933034	-0.124023  0.225977  0.174023	0.215294  0.0232184  0.0233454
Ox	1.76067  0.0106697  0.00933034	-0.124023  0.225977  0.174023	-0.893915  0.0252443  0.0216433
R	1.76067  0.0106697  0.00933034	-0.124023  0.225977  0.174023	-0.0816851  0.066429  0.066429
T	1.76067  0.0106697  0.00933034	-0.124023  0.225977  0.174023	-0.969248  0.0123602  0.00365813
Oz	1.76067  0.0106697  0.00933034	-0.124023  0.225977  0.174023	-0.353374  0.0580646  0.0568493
B	1.76086  0.0108643  0.00913572	0.15148  0.10148  0.0985195	0.318473  0.0284877  0.0286763
Ox	1.76086  0.0108643  0.00913572	0.15148  0.10148  0.0985195	-0.879631  0.0265352  0.0225094
R	1.76086  0.0108643  0.00913572	0.15148  0.10148  0.0985195	-0.29747  0.0482379  0.0482379
T	1.76086  0.0108643  0.00913572	0.15148  0.10148  0.0985195	-0.970352  0.00989443  0.00340062
Oz	1.76086  0.0108643  0.00913572	0.15148  0.10148  0.0985195	-0.310157  0.0642346  0.0629027
B	1.76077  0.0107746  0.00922538	0.350631  0.100631  0.0993691	0.380159  0.0219639  0.0221071
Ox	1.76077  0.0107746  0.00922538	0.350631  0.100631  0.0993691	-0.900283  0.0136176  0.0117478
R	1.76077  0.0107746  0.00922538	0.350631  0.100631  0.0993691	-0.441283  0.0536874  0.0536874
T	1.76077  0.0107746  0.00922538	0.350631  0.100631  0.0993691	-0.96976  0.00926452  0.00325633
Oz	1.76077  0.0107746  0.00922538	0.350631  0.100631  0.0993691	-0.125758  0.0557122  0.0551853
B	1.7607  0.0106981  0.00930189	0.537355  0.0873549  0.112645	0.288727  0.0230698  0.0230698
Ox	1.7607  0.0106981  0.00930189	0.537355  0.0873549  0.112645	-0.94028  0.00802403  0.00802403
R	1.7607  0.0106981  0.00930189	0.537355  0.0873549  0.112645	-0.409434  0.0490754  0.0490754
T	1.7607  0.0106981  0.00930189	0.537355  0.0873549  0.112645	-0.969982  0.00438203  0.00438203
Oz	1.7607  0.0106981  0.00930189	0.537355  0.0873549  0.112645	-0.0597004  0.05055  0.05055
B	1.76109  0.011089  0.00891102	0.733535  0.0835346  0.116465	0.218825  0.0314718  0.031744
Ox	1.76109  0.011089  0.00891102	0.733535  0.0835346  0.116465	-0.941135  0.0315046  0.0159332
R	1.76109  0.011089  0.00891102	0.733535  0.0835346  0.116465	-0.442402  0.0774927  0.0774927
T	1.76109  0.011089  0.00891102	0.733535  0.0835346  0.116465	-0.844777  0.0908376  0.0895277
Oz	1.76109  0.011089  0.00891102	0.733535  0.0835346  0.116465	-0.187209  0.0816145  0.0807108
B	1.7813  0.0113039  0.00869613	-0.466845  0.283155  0.116845	0.200489  0.0345899  0.0347523
Ox	1.7813  0.0113039  0.00869613	-0.466845  0.283155  0.116845	-0.713448  0.0966511  0.098332
R	1.7813  0.0113039  0.00869613	-0.466845  0.283155  0.116845	0.0731338  0.106099  0.106099
T	1.7813  0.0113039  0.00869613	-0.466845  0.283155  0.116845	-0.666374  0.0906791  0.0877827
Oz	1.7813  0.0113039  0.00869613	-0.466845  0.283155  0.116845	-0.15918  0.0953461  0.0950516
B	1.78111  0.0111129  0.0088871	-0.126412  0.223588  0.176412	0.274418  0.0177169  0.0177278
Ox	1.78111  0.0111129  0.0088871	-0.126412  0.223588  0.176412	-0.90569  0.0159105  0.013796
R	1.78111  0.0111129  0.0088871	-0.126412  0.223588  0.176412	-0.163998  0.0641741  0.0641741
T	1.78111  0.0111129  0.0088871	-0.126412  0.223588  0.176412	-0.968004  0.0186368  0.00394303
Oz	1.78111  0.0111129  0.0088871	-0.126412  0.223588  0.176412	-0.271955  0.0458655  0.045169
B	1.78119  0.0111906  0.00880937	0.153311  0.103311  0.0966894	0.307184  0.0208741  0.0209947
Ox	1.78119  0.0111906  0.00880937	0.153311  0.103311  0.0966894	-0.926743  0.0109577  0.00936244
R	1.78119  0.0111906  0.00880937	0.153311  0.103311  0.0966894	-0.325994  0.0438653  0.0438653
T	1.78119  0.0111906  0.00880937	0.153311  0.103311  0.0966894	-0.969716  0.0100031  0.00319001
Oz	1.78119  0.0111906  0.00880937	0.153311  0.103311  0.0966894	-0.133721  0.0488635  0.048763
B	1.78107  0.0110661  0.00893392	0.350366  0.100366  0.0996337	0.404322  0.0203487  0.0203487
Ox	1.78107  0.0110661  0.00893392	0.350366  0.100366  0.0996337	-0.880777  0.00876081  0.00876081
R	1.78107  0.0110661  0.00893392	0.350366  0.100366  0.0996337	-0.482648  0.0499528  0.0499528
T	1.78107  0.0110661  0.00893392	0.350366  0.100366  0.0996337	-0.969827  0.00384669  0.00384669
Oz	1.78107  0.0110661  0.00893392	0.350366  0.100366  0.0996337	-0.178132  0.029173  0.029173
B	1.78104  0.01104  0.00895998	0.540506  0.090506  0.109494	0.367435  0.0185001  0.0185001
