B	1.77605  0.0260504  0.0139496	-0.119694  0.230306  0.169694	0.55997  0.0244741  0.0247206
Ox	1.77605  0.0260504  0.0139496	-0.119694  0.230306  0.169694	0.218859  0.273362  0.273513
R	1.77605  0.0260504  0.0139496	-0.119694  0.230306  0.169694	0.234321  0.138518  0.138518
T	1.77605  0.0260504  0.0139496	-0.119694  0.230306  0.169694	0.455462  0.203214  0.265911
Oz	1.77605  0.0260504  0.0139496	-0.119694  0.230306  0.169694	0.0228555  0.269789  0.269807
B	1.77562  0.0256151  0.0143849	0.165015  0.115015  0.0849852	0.558214  0.018314  0.018314
Ox	1.77562  0.0256151  0.0143849	0.165015  0.115015  0.0849852	0.381813  0.0744344  0.0744344
R	1.77562  0.0256151  0.0143849	0.165015  0.115015  0.0849852	0.502353  0.156709  0.156709
B	1.77588  0.0258809  0.0141191	0.352752  0.102752  0.0972476	0.513554  0.0243666  0.0246259
Ox	1.77588  0.0258809  0.0141191	0.352752  0.102752  0.0972476	0.694261  0.27741  0.27741
R	1.77588  0.0258809  0.0141191	0.352752  0.102752  0.0972476	0.33009  0.127935  0.127935
T	1.77588  0.0258809  0.0141191	0.352752  0.102752  0.0972476	0.424991  0.259831  0.25036
Oz	1.77588  0.0258809  0.0141191	0.352752  0.102752  0.0972476	-0.256397  0.286918  0.286918
B	1.77627  0.0262725  0.0137275	0.577166  0.127166  0.272834	0.362421  0.0251516  0.0253038
Ox	1.77627  0.0262725  0.0137275	0.577166  0.127166  0.272834	0.416317  0.283575  0.284142
R	1.77627  0.0262725  0.0137275	0.577166  0.127166  0.272834	0.274463  0.129691  0.129691
T	1.77627  0.0262725  0.0137275	0.577166  0.127166  0.272834	0.346771  0.249294  0.181675
Oz	1.77627  0.0262725  0.0137275	0.577166  0.127166  0.272834	-0.0131964  0.309387  0.309273
B	1.81011  0.0201053  0.0198947	-0.237547  0.112453  0.0875471	0.669161  0.010379  0.010379
Ox	1.81011  0.0201053  0.0198947	-0.237547  0.112453  0.0875471	0.250621  0.0702347  0.0702347
R	1.81011  0.0201053  0.0198947	-0.237547  0.112453  0.0875471	0.195928  0.107933  0.107933
T	1.81011  0.0201053  0.0198947	-0.237547  0.112453  0.0875471	0.754415  0.447108  0.447108
B	1.81016  0.0201559  0.0198441	-0.046193  0.103807  0.096193	0.612999  0.0228328  0.0230975
Ox	1.81016  0.0201559  0.0198441	-0.046193  0.103807  0.096193	0.383614  0.262834  0.263185
R	1.81016  0.0201559  0.0198441	-0.046193  0.103807  0.096193	0.25435  0.100502  0.100502
T	1.81016  0.0201559  0.0198441	-0.046193  0.103807  0.096193	0.182049  0.161157  0.0200581
Oz	1.81016  0.0201559  0.0198441	-0.046193  0.103807  0.096193	-0.0826023  0.237706  0.23773
B	1.81052  0.0205242  0.0194758	0.164466  0.114466  0.0855343	0.597996  0.0209666  0.0209666
Ox	1.81052  0.0205242  0.0194758	0.164466  0.114466  0.0855343	-0.0668351  0.244616  0.244672
R	1.81052  0.0205242  0.0194758	0.164466  0.114466  0.0855343	0.375544  0.10687  0.10687
